,area,perimeter,major_axis_length,minor_axis_length,eccentricity,pix_avg,pix_max,pix_min,aspect_ratio,perimeter_area_ratio,shading
0,782,147.095454429505,41.38559172121571,28.108885902263065,0.7339578918379834,110.98337595907928,170,76,0.6791949742222354,0.18810160412980179,94
1,82,43.9350288425444,21.85688534231033,5.746317788821406,0.9648213092194193,112.0609756097561,137,93,0.26290652573895074,0.5357930346651756,44
6,60,42.55634918610404,20.238380115927477,6.200284335317771,0.9519148645697195,111.36666666666666,144,89,0.3063626782282929,0.7092724864350674,55
7,363,111.78174593052022,37.336286094036616,16.11065338975553,0.9021123478403443,102.38292011019284,146,74,0.4315012304431837,0.3079386940234717,72
8,169,71.94112549695429,30.986208351486468,9.360369917600147,0.9532820043403247,112.86390532544378,151,90,0.3020818104436167,0.4256871331180727,61
10,159,64.66904755831214,20.169591688973863,14.331431767720806,0.7036502986090751,106.04402515723271,148,84,0.7105464497605763,0.40672356954913297,64
11,151,58.2193000900063,20.1852860966328,14.934767281333329,0.6727346295920258,104.0794701986755,140,84,0.7398838544985827,0.38555827874176357,56
15,189,97.26093065034893,37.23954408637986,13.558274575821333,0.9313666150148812,107.05820105820106,131,87,0.36408272196812935,0.5146080986790948,44
16,146,70.8761543394987,24.60114944189117,12.75354225383157,0.8551307078564963,104.11643835616438,152,84,0.5184124540178869,0.4854531119143746,68
18,292,102.50357133746823,39.41282227918173,16.26354126793996,0.9108914999226994,111.31164383561644,199,81,0.4126459443258529,0.3510396278680419,118
20,499,150.64570696119915,53.31546141361759,14.53547359575808,0.9621185330173408,106.04609218436873,180,79,0.27263148832180034,0.30189520433106043,101
21,489,171.3797256769669,45.99056929608832,23.667664051573784,0.8574184022182328,104.95910020449898,157,74,0.5146199408665901,0.350469786660464,83
23,7914,798.0102807365162,175.20066601015247,97.59253660012219,0.8304904205257849,118.02388172858225,255,0,0.5570329087360143,0.10083526418202125,255
24,52,31.556349186104047,16.490888760995347,4.274286230906855,0.9658261450128998,113.51923076923077,137,93,0.25919077454554795,0.6068528689635394,44
26,59,38.87005768508881,20.378446932702182,4.030567383749113,0.9802452643106097,105.83050847457628,123,93,0.19778579776268845,0.6588145370354036,30
